Datetime,Sentiment_Numeric,Sentiment_Label,Sentiment_Score,Cleaned_Message,Message
1970-01-01 00:00:13,0,NEUTRAL,0.8414062261581421,live! Streaming Sievert: !AFRICA LIVE | HARDCORE RUN,Pestily is now live! Streaming ZERO Sievert: !AFRICA VIDEO LIVE | HARDCORE PERMADEATH ZERO SIEVERT RUN     
1970-01-01 00:00:40,0,NEUTRAL,0.7581835389137268,салам,салам     
1970-01-01 00:00:49,0,NEUTRAL,0.6789278984069824,!africa,!africa     
1970-01-01 00:00:49,0,NEUTRAL,0.8750421404838562,Climbing highest mountain Africa - https://youtu.be/3qpeAdwt6-A,Climbing highest mountain in Africa video - https://youtu.be/3qpeAdwt6-A     
1970-01-01 00:01:48,0,NEUTRAL,0.6789278984069824,!africa,!africa     
1970-01-01 00:01:49,0,NEUTRAL,0.8750421404838562,Climbing highest mountain Africa - https://youtu.be/3qpeAdwt6-A,Climbing highest mountain in Africa video - https://youtu.be/3qpeAdwt6-A     
1970-01-01 00:02:31,0,NEUTRAL,0.6789278984069824,!africa,!africa     
1970-01-01 00:02:31,0,NEUTRAL,0.8750421404838562,Climbing highest mountain Africa - https://youtu.be/3qpeAdwt6-A,Climbing highest mountain in Africa video - https://youtu.be/3qpeAdwt6-A     
1970-01-01 00:02:58,0,NEUTRAL,0.7071499824523926,maaaaaah meatloaf,maaaaaah the meatloaf     
1970-01-01 00:04:09,1,POSITIVE,0.9073859453201294,hehehe heeeeee,hehehe heeeeee     
1970-01-01 00:04:21,1,POSITIVE,0.7977551221847534,widepeepoHappy,widepeepoHappy     
1970-01-01 00:04:30,0,NEUTRAL,0.7800535559654236,Check latest videos youtube channel! https://www.youtube.com/pestily,Check out the latest videos on my youtube channel! https://www.youtube.com/pestily     
1970-01-01 00:04:50,1,POSITIVE,0.8474076986312866,Good morning yall <3,Good morning yall <3     
1970-01-01 00:05:20,0,NEUTRAL,0.8110193014144897,@Alyssis_ KEKW,@Alyssis_ KEKW     
1970-01-01 00:05:34,1,POSITIVE,0.6705369353294373,Hey ho lets go ^^,Hey ho lets go ^^     
1970-01-01 00:05:44,1,POSITIVE,0.7818755507469177,Best Intro,Best Intro on Twitch     
1970-01-01 00:05:57,0,NEUTRAL,0.7549669742584229,Wokege,Wokege     
1970-01-01 00:06:20,0,NEUTRAL,0.7996075749397278,D: almost 777 time AlienPls,D: it's almost 777 time AlienPls     
1970-01-01 00:06:44,0,NEUTRAL,0.6789278984069824,!africa,!africa     
1970-01-01 00:06:44,0,NEUTRAL,0.8750421404838562,Climbing highest mountain Africa - https://youtu.be/3qpeAdwt6-A,Climbing highest mountain in Africa video - https://youtu.be/3qpeAdwt6-A     
1970-01-01 00:06:46,0,NEUTRAL,0.6705732941627502,came c:,I came c:     
1970-01-01 00:06:55,0,NEUTRAL,0.7994180917739868,7 7 7 PestilyWoo PestilyWoo PestilyWoo,7 7 7 PestilyWoo PestilyWoo PestilyWoo     
1970-01-01 00:07:15,0,NEUTRAL,0.7934393286705017,pepeJAMJAM pepeJAMJAM,pepeJAMJAM pepeJAMJAM     
1970-01-01 00:07:37,0,NEUTRAL,0.7494831085205078,7 7 7,7 7 7     
1970-01-01 00:07:45,0,NEUTRAL,0.7494831085205078,7 7 7,7 7 7     
1970-01-01 00:07:52,0,NEUTRAL,0.7025675773620605,blanketJam,blanketJam     
1970-01-01 00:08:17,0,NEUTRAL,0.6964759826660156,!Africa,!Africa     
1970-01-01 00:08:17,0,NEUTRAL,0.8750421404838562,Climbing highest mountain Africa - https://youtu.be/3qpeAdwt6-A,Climbing highest mountain in Africa video - https://youtu.be/3qpeAdwt6-A     
1970-01-01 00:08:28,0,NEUTRAL,0.700911819934845,@DanyaPerhaps i've grinding nobody seems notice Kapp,@DanyaPerhaps i've been grinding too but nobody seems to notice Kapp     
1970-01-01 00:09:34,1,POSITIVE,0.8657946586608887,good morning!,good morning!     
1970-01-01 00:09:37,1,POSITIVE,0.7955955862998962,top morning!,top of morning!     
1970-01-01 00:09:39,1,POSITIVE,0.892575740814209,love u,love u pest     
1970-01-01 00:09:51,0,NEUTRAL,0.7168641686439514,5am way early mate wym?,5am is way too early mate wym?     
1970-01-01 00:09:53,1,POSITIVE,0.7478291988372803,Good Evening Dad,Good Evening Dad     
1970-01-01 00:09:54,1,POSITIVE,0.9758896827697754,Love dad!,Love you dad!     
1970-01-01 00:09:55,0,NEUTRAL,0.8460403084754944,@Pestily Africa ?,@Pestily Where in Africa are you ?     
1970-01-01 00:10:04,0,NEUTRAL,0.6930531859397888,monkaHmm,monkaHmm     
1970-01-01 00:10:06,0,NEUTRAL,0.7165753245353699,ruh roh,ruh roh     
1970-01-01 00:10:19,0,NEUTRAL,0.8680428266525269,watermelons safe least?,are the watermelons safe at least?     
1970-01-01 00:10:19,0,NEUTRAL,0.7814870476722717,use left hand,just use your left hand     
1970-01-01 00:10:21,0,NEUTRAL,0.8323280811309814,use left hand challenge,use your left hand as a challenge     
1970-01-01 00:10:35,0,NEUTRAL,0.870593249797821,time remap left click keyboard,time to remap left click to the keyboard     
1970-01-01 00:10:47,0,NEUTRAL,0.8168399333953857,Change shoot space Kappa,Change shoot to space Kappa     
1970-01-01 00:11:05,0,NEUTRAL,0.7967981696128845,Titty Milk?,Titty Milk?     
1970-01-01 00:11:11,-1,NEGATIVE,0.8609638810157776,dying sad,dying is sad     
1970-01-01 00:11:17,1,POSITIVE,0.925387978553772,super glue works great cuts,super glue works great on cuts     
